id,label,lifecycle,aliases,country,extant,founded,lineage,location,operational_status,owner_entity,owner_primary,region_id
distillery.glen-moray,Glen Moray,active,,GB,True,1897,original,Elgin,operational,La Martiniquaise,Independent,region.speyside
distillery.glen-nevis,Glen Nevis,deprecated,,GB,False,1923,original,Campbeltown,demolished,,,region.campbeltown
distillery.glen-ord,Glen Ord,active,,GB,True,1838,original,Muir of Ord,operational,Diageo,Diageo,region.highlands
distillery.glen-scotia,Glen Scotia,active,,GB,True,1832,original,Campbeltown,operational,Loch Lomond Group,Loch Lomond Group,region.campbeltown
distillery.glen-spey,Glen Spey,active,,GB,True,1878,original,Rothes,operational,Diageo,Diageo,region.speyside
distillery.glenaden,Glenaden,deprecated,,GB,False,1915,original,Old Deer,demolished,,,region.highlands
distillery.glenallachie,Glenallachie,active,The GlenAllachie,GB,True,1967,original,Banffshire,operational,The GlenAllachie Distillers Co Limited,Independent,region.speyside
distillery.glenburgie,Glenburgie,active,,GB,True,1810,original,Moray,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.glencadam,Glencadam,active,,GB,True,1825,original,Angus,operational,Angus Dundee Distiller,Angus Dundee Distillers,region.highlands
distillery.glencawdor,Glencawdor,deprecated,,GB,False,1927,original,Nairn,demolished,,,region.highlands
distillery.glencoull,Glencoull,deprecated,,GB,False,1927,original,Angus,demolished,,,region.highlands
distillery.glendronach,Glendronach,active,The GlenDronach,GB,True,1826,original,Aberdeenshire,operational,Brown-Forman,Brown-Forman,region.highlands
distillery.glendullan,Glendullan,active,,GB,True,1897,original,Banffshire,operational,Diageo,Diageo,region.speyside
distillery.glenesk,Glenesk,deprecated,,GB,False,1985,original,Montrose,demolished,,,region.highlands
distillery.glenfarclas,Glenfarclas,active,,GB,True,1836,original,Ballindalloch,operational,J. & G. Grant,Independent,region.speyside
distillery.glenfiddich,Glenfiddich,active,,GB,True,1886,original,Dufftown,operational,William Grant & Sons,William Grant & Sons,region.speyside
distillery.glenfoyle,Glenfoyle,deprecated,,GB,False,1923,original,Gargunnock,demolished,,,region.highlands
distillery.glengilp,Glengilp,deprecated,,GB,False,1937,original,Ardrishaig,demolished,,,region.highlands
distillery.glenglassaugh,Glenglassaugh,active,,GB,True,1875,original,Portsoy,operational,Brown-Forman,Brown-Forman,region.highlands
distillery.glengoyne,Glengoyne,active,,GB,True,1833,original,Dumgoyne,operational,Ian Macleod Distillers,Ian Macleod Distillers,region.highlands
distillery.glengyle,Glengyle,active,,GB,True,1872,original,Campbeltown,operational,Mitchell's Glengyle Ltd,Independent,region.campbeltown
distillery.gleniffer,Gleniffer,deprecated,,GB,False,1894,original,Elderslie,demolished,,,region.lowlands
distillery.glenkinchie,Glenkinchie,active,,GB,True,1837,original,Pencaitland,operational,Diageo,Diageo,region.lowlands
distillery.glenlivet,Glenlivet,active,The Glenlivet,GB,True,1824,original,Ballindalloch,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.glenlochy,Glenlochy,deprecated,,GB,False,1983,original,Fort William,demolished,,,region.highlands
distillery.glenlossie,Glenlossie,active,,GB,True,1876,original,Elgin,operational,Diageo,Diageo,region.speyside
distillery.glenmavis,Glenmavis,deprecated,,GB,False,1910,original,Bathgate,demolished,,,region.lowlands
distillery.glenmorangie,Glenmorangie,active,,GB,True,1843,original,Tain,operational,LVMH,Independent,region.highlands
distillery.glenramskill,Glenramskill,deprecated,,GB,False,1854,original,Campbeltown,demolished,,,region.campbeltown
distillery.glenrothes,Glenrothes,active,The Glenrothes,GB,True,1879,original,Rothes,operational,Edrington,Edrington,region.speyside
distillery.glenside,Glenside,deprecated,,GB,False,1926,original,Campbeltown,demolished,,,region.campbeltown
distillery.glenskiach,Glenskiach,deprecated,,GB,False,1926,original,Evanton,demolished,,,region.highlands
distillery.glentarras,Glentarras,deprecated,,GB,False,1914,original,Langholm,demolished,,,region.lowlands
distillery.glentauchers,Glentauchers,active,,GB,True,1897,original,Mulben,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.glenturret,Glenturret,active,The Glenturret,GB,True,1763,original,Crieff,operational,Lalique Group,Independent,region.highlands
distillery.glenugie,Glenugie,deprecated,,GB,False,1983,original,Peterhead,demolished,,,region.highlands
distillery.glenury,Glenury,deprecated,,GB,False,1985,original,Stonehaven,demolished,,,region.highlands
distillery.glenwyvis,GlenWyvis,active,,GB,True,2015,original,Dingwall,operational,GlenWyvis Distillery Ltd.,Independent,region.highlands
distillery.grandtully,Grandtully,deprecated,,GB,False,1910,original,Grandtully,demolished,,,region.highlands
distillery.grange,Grange,deprecated,,GB,False,1925,original,Burntisland,demolished,,,region.lowlands
distillery.greenock,Greenock,deprecated,,GB,False,1915,original,Greenock,demolished,,,region.lowlands
distillery.harris,Harris,active,,GB,True,2015,original,Tarbert,operational,Isle of Harris Distillers Ltd.,Independent,region.islands
distillery.highland,Highland,deprecated,,GB,False,1852,original,Campbeltown,demolished,,,region.campbeltown
distillery.highland-park,Highland Park,active,,GB,True,1798,original,Kirkwall,operational,Edrington,Edrington,region.islands
distillery.holyrood,Holyrood,active,,GB,True,2019,original,Edinburgh,operational,David Robertson,Independent,region.lowlands
distillery.imperial,Imperial,active,,GB,True,1998,original,Carron,demolished,,,region.speyside
distillery.inchdairnie,Inchdairnie,active,,GB,True,2015,original,Glenrothes,operational,John Fergus & Co.,Independent,region.lowlands
distillery.inchgower,Inchgower,active,,GB,True,1871,original,Buckie,operational,Diageo,Diageo,region.speyside
distillery.inverleven,Inverleven,deprecated,,GB,False,1991,original,Dumbarton,demolished,,,region.lowlands
distillery.isla,Isla,deprecated,,GB,False,1926,original,Perth,demolished,,,region.highlands
distillery.jackton,Jackton,active,,GB,True,2020,original,Jackton,operational,RAER Spirits,Independent,region.lowlands
distillery.jura,Jura,active,,GB,True,1810,original,Craighouse,operational,Whyte & Mackay,Whyte & Mackay,region.islands
distillery.kilchoman,Kilchoman,active,,GB,True,2005,original,Kilchoman,operational,Kilchoman Distillery Company,Independent,region.islay
distillery.kinclaith,Kinclaith,deprecated,,GB,False,1976,original,Glasgow,demolished,,,region.lowlands
distillery.kingsbarns,Kingsbarns,active,,GB,True,2014,original,Kingsbarns,operational,The Kingsbarns Company of Distillers,Independent,region.lowlands
distillery.kininvie,Kininvie,active,,GB,True,1990,original,Dufftown,operational,William Grant & Sons,William Grant & Sons,region.speyside
distillery.kinloch,Kinloch,deprecated,,GB,False,1926,original,Campbeltown,demolished,,,region.campbeltown
distillery.kintyre,Kintyre,deprecated,,GB,False,1920,original,Campbeltown,demolished,,,region.campbeltown
distillery.knockando,Knockando,active,,GB,True,1898,original,Knockando,operational,Diageo,Diageo,region.speyside
distillery.knockdhu,Knockdhu,active,,GB,True,1894,original,Knock,operational,Inver House Distillers,International Beverage,region.speyside
distillery.ladyburn,Ladyburn,deprecated,,GB,False,1975,original,Girvan,demolished,,,region.lowlands
distillery.lagavulin,Lagavulin,active,,GB,True,1816,original,Port Ellen,operational,Diageo,Diageo,region.islay
distillery.lagg,Lagg,active,,GB,True,2019,original,Lagg,operational,Isle of Arran Distillers Ltd.,Isle of Arran Distillers,region.islands
distillery.langholm,Langholm,deprecated,,GB,False,1917,original,Langholm,demolished,,,region.lowlands
distillery.laphroaig,Laphroaig,active,,GB,True,1815,original,Port Ellen,operational,Suntory Global Spirits,Suntory Global Spirits,region.islay
distillery.leven,Leven,active,,GB,True,2013,original,Leven,operational,Diageo,Diageo,region.lowlands
distillery.lindores-abbey,Lindores Abbey,active,,GB,True,2017,original,Newburgh,operational,Lindores Distilling Co.,Independent,region.lowlands
distillery.linkwood,Linkwood,active,,GB,True,1821,original,Elgin,operational,Diageo,Diageo,region.speyside
distillery.littlemill,Littlemill,deprecated,,GB,False,1992,original,Bowling,demolished,,,region.lowlands
distillery.loch-katrine,Loch Katrine,deprecated,,GB,False,1920,original,Glasgow,demolished,,,region.lowlands
distillery.loch-lomond,Loch Lomond,active,,GB,True,1964,original,Alexandria,operational,Loch Lomond Group,Loch Lomond Group,region.highlands
distillery.lochhead,Lochhead,deprecated,,GB,False,1928,original,Campbeltown,demolished,,,region.campbeltown
distillery.lochlea,Lochlea,active,,GB,True,2018,original,Ayrshire,operational,Neil McGeoch,Independent,region.lowlands
distillery.lochruan,Lochruan,deprecated,,GB,False,1925,original,Campbeltown,demolished,,,region.campbeltown
distillery.lochside,Lochside,deprecated,,GB,False,1992,original,Montrose,demolished,,,region.highlands
distillery.longmorn,Longmorn,active,,GB,True,1893,original,Elgin,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.macallan,Macallan,active,The Macallan,GB,True,1824,original,Craigellachie,operational,Edrington,Edrington,region.speyside
distillery.macduff,Macduff,active,,GB,True,1960,original,Banff,operational,John Dewar & Sons,Bacardi,region.highlands
distillery.mannochmore,Mannochmore,active,,GB,True,1971,original,Elgin,operational,Diageo,Diageo,region.speyside
distillery.meadowburn,Meadowburn,deprecated,,GB,False,1882,original,Campbeltown,demolished,,,region.campbeltown
distillery.millburn,Millburn,deprecated,,GB,False,1985,original,Inverness,demolished,,,region.highlands
distillery.miltonduff,Miltonduff,active,,GB,True,1824,original,Elgin,operational,Chivas Brothers,Pernod Ricard,region.speyside
